time,S,I,R
65.0,2.0867718300825385e-10,1.505743725386357,998.4942562744068
65.5,1.5499274625122382e-10,1.4323142282038377,998.567685771643
66.0,1.0850461048604414e-10,1.3624639450312004,998.6375360548622
66.5,8.092691257387198e-11,1.2960171076141487,998.7039828923067
67.0,6.700704879977515e-11,1.232805452783378,998.7671945471515
67.5,5.6176011141001864e-11,1.1726735573127587,998.8273264426329
68.0,4.772333034791167e-11,1.115474822855901,998.8845251770982
68.5,4.104622124963489e-11,1.0610682720874636,998.9389317278733
69.0,3.5649582754072036e-11,1.0093185487031522,998.990681451263
69.5,3.114599784789471e-11,0.9600959174197188,999.039904082551
70.0,2.7255733596546447e-11,0.9132762639749628,999.0867237359996
70.5,2.3806741144238772e-11,0.868741095127733,999.1312589048503
71.0,2.073465571395221e-11,0.826377538657928,999.1736224613231
71.5,1.80827966074489e-11,0.7860783433664802,999.2139216566172
72.0,1.599640797529544e-11,0.7477418250382324,999.2522581749475
72.5,1.4338206525852827e-11,0.7112700389274617,999.28872996106
73.0,1.2925329205148147e-11,0.6765739046075695,999.3234260953813
73.5,1.1719124562021816e-11,0.6435697611592651,999.3564302388307
74.0,1.0685162422086645e-11,0.6121769939360554,999.387823006055
74.5,9.793233887727837e-12,0.582318034564244,999.4176819654277
75.0,9.017351338102974e-12,0.5539183609429323,999.4460816390498
75.5,8.335748429142038e-12,0.5269064972440192,999.4730935027494
76.0,7.730880093547375e-12,0.5012140139122007,999.4987859860819
76.5,7.189422540793759e-12,0.47677552766497006,999.5232244723296
77.0,6.702273257128383e-12,0.4535287014926176,999.5464712985024
77.5,6.264551005570696e-12,0.4314142446582319,999.5685857553373
78.0,5.875595825912693e-12,0.410375912697698,999.5896240872983
78.5,5.532820761070148e-12,0.39036010703690693,999.6096398929594
79.0,5.225318603444275e-12,0.37131748883383375,999.6286825111628
79.5,4.949002844646198e-12,0.35320269104242347,999.6467973089544
80.0,4.700288371019391e-12,0.33597195730089036,999.6640280426963
80.5,4.475904643721309e-12,0.3195831107577597,999.6804168892396
81.0,4.2728956987233974e-12,0.3039955540718683,999.6960044459257
81.5,4.088620146811089e-12,0.28917026941236434,999.7108297305854
82.0,3.9207511735838015e-12,0.2750698184587067,999.7249301815392
82.5,3.767276539454939e-12,0.2616583424006659,999.7383416575974
83.0,3.626498579651893e-12,0.2489015619383236,999.7510984380599
83.5,3.4970342042160444e-12,0.23676677728207277,999.7632332227163
84.0,3.3778148980027596e-12,0.22522286815261833,999.7747771318458
84.5,3.2680867206813888e-12,0.2142402937809749,999.7857597062176
85.0,3.1671854947300798e-12,0.20379094866105713,999.7962090513377
85.5,3.0740565007088816e-12,0.19384901959086312,999.8061509804079
86.0,2.988024529604973e-12,0.18439108060804474,999.8156089193908
86.5,2.9084809959533936e-12,0.1753945359134245,999.8246054640855
87.0,2.8348586213426273e-12,0.16683757036585667,999.8331624296331
87.5,2.7666314344146025e-12,0.15869914948222724,999.8413008505169
88.0,2.7033147708646915e-12,0.15095901943745416,999.8490409805617
88.5,2.6444652734417145e-12,0.14359770706448705,999.8564022929347
89.0,2.589680891947932e-12,0.13659651985430732,999.8634034801449
89.5,2.538600883239053e-12,0.12993754595592846,999.8700624540434
90.0,2.490905811224228e-12,0.12360365417639514,999.876396345823
