t,S,I,R
11.565308074983527,809,94,97
11.579145773588687,808,95,97
11.585848679475065,808,94,98
11.59407224609945,808,93,99
11.605555499306021,807,94,99
11.629869118114435,806,95,99
11.64497240159597,805,96,99
11.664505887305905,805,95,100
11.66561834514491,804,96,100
11.66735061852084,804,95,101
11.69161989733799,803,96,101
11.693739645938008,803,95,102
11.727941606899474,802,96,102
11.733961618366056,802,95,103
11.7711911267102,801,96,103
11.790148921298425,801,95,104
11.79783589229958,800,96,104
11.807164632309291,800,95,105
11.815225367813511,800,94,106
11.81964741053767,800,93,107
11.863369597553863,799,94,107
11.86639155249202,798,95,107
11.867076028285435,797,96,107
11.869416382698649,797,95,108
11.933890445127668,797,94,109
11.948945759633762,796,95,109
11.949085801384518,795,96,109
11.996654791028451,795,95,110
12.026253886688078,795,94,111
12.049558476491873,794,95,111
12.056336002784224,793,96,111
12.07982897552607,792,97,111
12.131743087614185,792,96,112
12.154214302543437,791,97,112
12.15961549240498,790,98,112
12.193815538351862,789,99,112
12.196990137907802,789,98,113
12.19827819372894,788,99,113
12.204342560013114,788,98,114
12.222687489378872,787,99,114
12.264828949441668,786,100,114
12.28656723727727,785,101,114
12.30411464398005,784,102,114
12.313935779986789,783,103,114
12.336052502902751,783,102,115
12.354950913855257,783,101,116
12.387010207853383,782,102,116
12.399336780763226,782,101,117
12.404752987307859,781,102,117
12.415111537987423,780,103,117
12.438179413044779,779,104,117
12.447583491800195,779,103,118
12.51707523905947,778,104,118
12.546669740522546,778,103,119
12.559118519273525,777,104,119
12.563000351325782,776,105,119
12.565823156672721,775,106,119
12.58490268569243,774,107,119
12.628550150967131,774,106,120
12.631949933013573,773,107,120
12.639452059210885,772,108,120
12.655907735801236,771,109,120
12.660304864533899,770,110,120
12.703489276018201,769,111,120
12.706476256354053,769,110,121
12.712882186971175,768,111,121
12.719808323812739,767,112,121
12.752165304927178,766,113,121
12.771329675249412,765,114,121
12.774375480219762,764,115,121
12.77507028730763,764,114,122
12.803295705568871,763,115,122
12.82018374556225,763,114,123
12.824209359428123,762,115,123
12.856233048253308,761,116,123
12.86769650547449,760,117,123
12.885875751047834,759,118,123
12.895914732541776,758,119,123
12.899201163953546,758,118,124
12.921410146557106,757,119,124
12.923833303654856,756,120,124
12.924395881411229,755,121,124
12.93665674017896,755,120,125
12.940330074374039,754,121,125
12.97121412211183,753,122,125
12.980003890140724,753,121,126
12.990669190740972,752,122,126
13.01237690047952,752,121,127
13.015784150292104,751,122,127
13.024429967509707,751,121,128
13.031555232533801,750,122,128
13.067719284420054,749,123,128
13.070203419152875,748,124,128
13.076069196679839,748,123,129
13.082533529791972,748,122,130
13.10689606657781,747,123,130
13.106897165172262,746,124,130
13.112509275052012,745,125,130
13.129338552499181,744,126,130
13.145413645425634,744,125,131
13.169338009315746,743,126,131
13.17418923641974,742,127,131
13.179537452674433,741,128,131
13.1821200560126,740,129,131
13.18677003073536,740,128,132
13.196931188723436,740,127,133
13.205936892654826,739,128,133
13.20694081299013,738,129,133
13.22838233934466,737,130,133
13.240679494046416,736,131,133
13.255952570346334,736,130,134
13.279875282435029,735,131,134
13.28005961611549,734,132,134
13.281972112265526,733,133,134
13.305994538037664,733,132,135
13.314842931270686,733,131,136
13.323411419706327,733,130,137
13.324969162621828,732,131,137
13.33972160254628,731,132,137
13.383545295326146,730,133,137
13.388139583916184,729,134,137
13.402796430938357,728,135,137
13.408320784204468,728,134,138
13.423315489003793,727,135,138
13.429416782497588,726,136,138
13.449196324690368,726,135,139
13.480785515567337,725,136,139
13.484997829202657,724,137,139
13.493803601043242,723,138,139
13.501444653824956,722,139,139
13.508300033617362,721,140,139
13.510361987455921,721,139,140
13.530248366002214,720,140,140
13.531646881371975,719,141,140
13.546631039327027,718,142,140
13.560082908014195,717,143,140
13.563745644370695,716,144,140
13.566526045057511,716,143,141
13.575345743888795,716,142,142
13.58472164031447,715,143,142
13.589679149311642,714,144,142
13.60808324991242,713,145,142
13.608649967801195,712,146,142
13.61239830373525,712,145,143
13.613992146115956,712,144,144
13.623228201173625,711,145,144
13.631938518378513,711,144,145
13.64717845242847,710,145,145
13.672964292356651,710,144,146
13.691452387603318,709,145,146
13.694876318568863,709,144,147
13.70211364109866,708,145,147
13.722989914704845,708,144,148
13.73853152942031,708,143,149
13.743332745015504,707,144,149
13.751727140158922,707,143,150
13.775092132127044,706,144,150
13.785187436294878,705,145,150
13.791151767879164,704,146,150
13.830257281532488,703,147,150
13.834244282131289,702,148,150
13.85617897886335,701,149,150
13.857445977127268,701,148,151
13.862515293234496,700,149,151
13.863762935758814,699,150,151
13.878975494999956,699,149,152
13.890395375234219,699,148,153
13.897275694191555,698,149,153
13.903902692619896,697,150,153
13.92136036784911,696,151,153
13.933300051581597,696,150,154
13.937247917648387,695,151,154
13.94994309263873,695,150,155
13.958082262427958,695,149,156
13.958455299994835,695,148,157
13.959541741519525,694,149,157
13.98860815513688,694,148,158
13.992646738646664,693,149,158
13.997788778538192,692,150,158
14.00304220487737,692,149,159
14.02233414527822,691,150,159
14.031731396628537,691,149,160
14.062589458370384,690,150,160
14.083774001862109,690,149,161
14.122478135728107,689,150,161
14.150458491446523,688,151,161
14.151997017936612,688,150,162
14.152231806038609,687,151,162
14.156567785112596,686,152,162
14.16642778628123,685,153,162
14.170154244509847,685,152,163
14.17032511904971,684,153,163
14.175047139020153,684,152,164
14.205942912670661,683,153,164
14.212996020778816,682,154,164
14.216027435164765,681,155,164
14.235677484055547,681,154,165
14.245639224851333,681,153,166
14.248241567954494,681,152,167
14.257748266596273,681,151,168
14.257923698874533,681,150,169
14.279456597578815,681,149,170
14.294811961706058,680,150,170
14.306894353320216,680,149,171
14.325692389763425,680,148,172
14.329746210325665,679,149,172
14.357977446385954,678,150,172
14.359627026845352,677,151,172
14.370398988845508,677,150,173
14.374850708155336,676,151,173
14.386866114234685,675,152,173
14.39638120976787,675,151,174
14.419662703033971,675,150,175
14.429594558038193,675,149,176
14.435547079490384,674,150,176
14.440245676394404,673,151,176
14.444224367808447,672,152,176
14.464169717405579,671,153,176
14.4826160877966,671,152,177
14.485548753501403,671,151,178
14.493884639836555,671,150,179
14.50620299194109,670,151,179
14.527882699303511,670,150,180
14.537296704373352,670,149,181
14.559180677769241,670,148,182
14.563387833914057,669,149,182
14.572312317270576,668,150,182
14.590557836623436,667,151,182
14.593833436624742,667,150,183
14.596312650372575,667,149,184
14.60496536554833,667,148,185
14.617670681385015,667,147,186
14.620809713341288,667,146,187
14.633903722725298,667,145,188
14.655761374831453,666,146,188
14.658133266051438,665,147,188
14.695295506714665,665,146,189
14.70436781694307,665,145,190
14.716552996050194,664,146,190
14.718727491628433,664,145,191
14.723154609379907,664,144,192
14.730325693159882,663,145,192
14.7326094261816,663,144,193
14.734183703158068,662,145,193
14.737925739414012,662,144,194
14.744619239835195,661,145,194
14.768815807587064,661,144,195
14.778920811334865,661,143,196
14.791793873707654,660,144,196
14.793428988980496,659,145,196
14.799621864258993,659,144,197
14.7999587452381,658,145,197
14.829581013783839,657,146,197
14.842331312132597,656,147,197
14.882323789412485,655,148,197
14.89297131605076,655,147,198
14.903485870945284,655,146,199
14.914419913587542,654,147,199
14.948188555047894,653,148,199
14.96663596268327,652,149,199
14.989892184018993,651,150,199
15.004723157807975,651,149,200
15.006718599160886,650,150,200
15.025389971797432,650,149,201
15.069218423357398,650,148,202
15.076312424810673,649,149,202
15.088299508014849,648,150,202
15.09298148499604,647,151,202
15.10366078529169,647,150,203
15.109080276099975,646,151,203
15.110726947313163,645,152,203
15.117731691509661,645,151,204
15.168042416799823,644,152,204
15.17133833729375,643,153,204
15.190256004117161,642,154,204
15.195486425975078,641,155,204
15.203005194641188,640,156,204
15.203215270429515,639,157,204
15.236375292604675,638,158,204
15.260334984613152,637,159,204
15.300071854195133,637,158,205
15.314033670442178,637,157,206
15.326324437896094,636,158,206
15.346674741837424,635,159,206
15.352416961224712,634,160,206
15.384329313146175,634,159,207
15.451994208520226,634,158,208
15.454180422750856,633,159,208
15.457901232290308,633,158,209
15.470447743057575,633,157,210
15.478895493339671,633,156,211
15.494168098909773,632,157,211
15.508976339307866,632,156,212
15.545633915311369,631,157,212
15.565607840464708,631,156,213
15.58528708536679,631,155,214
15.588146593529737,630,156,214
15.600140904682604,629,157,214
15.630086125372882,628,158,214
15.647411815276365,627,159,214
15.648119709227137,627,158,215
15.65530364979653,626,159,215
15.671039481954535,625,160,215
15.679571326205817,625,159,216
15.711600471588715,625,158,217
15.72196365302096,624,159,217
15.72871355522245,624,158,218
15.732505482350929,624,157,219
15.733760937574326,623,158,219
15.740607588885386,623,157,220
15.750998587883345,623,156,221
15.779778713260123,622,157,221
15.82496741529204,622,156,222
15.830519851297431,622,155,223
15.842079488684575,621,156,223
15.879001533950204,620,157,223
15.910189668310291,620,156,224
15.94728963240395,620,155,225
15.96046339799785,619,156,225
15.97641668479447,619,155,226
15.980930316076709,618,156,226
15.98682227931218,618,155,227
15.991147272174263,618,154,228
16.003031646140975,617,155,228
16.02254514464259,617,154,229
16.0266186037285,617,153,230
16.03397737817582,616,154,230
16.058826599749175,615,155,230
16.06140406326153,615,154,231
16.07256915274599,614,155,231
16.088186175658024,613,156,231
16.088702244168452,612,157,231
16.088793427180622,612,156,232
16.1271928112472,612,155,233
16.12865751902865,611,156,233
16.139133478563064,610,157,233
16.140258000114,610,156,234
16.142512148463556,609,157,234
16.144944610084725,608,158,234
16.14576502718385,607,159,234
16.14870135686962,606,160,234
16.156619862612338,605,161,234
16.161272027127158,605,160,235
16.165684006271754,605,159,236
16.20445542510882,604,160,236
16.212916982827174,603,161,236
16.233554531018513,603,160,237
16.23711922209628,603,159,238
16.238488502607826,602,160,238
16.239600672032406,601,161,238
16.25192382037441,600,162,238
16.25318507090814,600,161,239
16.267405924408386,599,162,239
16.272442523853794,598,163,239
16.279639270223917,597,164,239
16.28244844928942,596,165,239
16.307078248460563,596,164,240
16.328216853373736,595,165,240
16.342130148995366,595,164,241
16.343499270075583,595,163,242
16.343803374281617,594,164,242
16.375373856573493,593,165,242
16.387400716200915,593,164,243
16.398313745354713,593,163,244
16.40057691995868,593,162,245
16.40791460696554,592,163,245
16.42148214924963,591,164,245
16.4513272555808,591,163,246
16.490442325421323,591,162,247
16.49301831528699,591,161,248
16.49532356892538,591,160,249
16.518319103821497,591,159,250
16.5231959748457,591,158,251
16.53945352219545,590,159,251
16.54019568831372,589,160,251
16.556640777809594,588,161,251
16.559137033153885,588,160,252
16.560154206433335,587,161,252
16.56942041312774,586,162,252
16.576220132861792,586,161,253
16.58485584754438,585,162,253
16.594008038782697,584,163,253
16.60566422951925,583,164,253
16.63114509234802,582,165,253
16.63145306720738,581,166,253
16.638213356294507,580,167,253
16.649477935775764,579,168,253
16.6686563212256,579,167,254
16.671299081828828,578,168,254
16.683105988201234,578,167,255
16.693672412417904,578,166,256
16.70138661459487,578,165,257
16.70667315294621,578,164,258
16.726007879575018,578,163,259
16.75617926462098,578,162,260
16.771352175517457,578,161,261
16.785410298933037,577,162,261
16.79145490724899,576,163,261
16.804323856642323,575,164,261
16.81479088166135,574,165,261
16.815690820909783,574,164,262
16.83831610303965,574,163,263
16.84042634390453,573,164,263
16.84660027200754,572,165,263
16.87345055141041,571,166,263
16.897848231513496,571,165,264
16.900674664977757,571,164,265
16.905105990195935,570,165,265
16.910138125575315,569,166,265
16.94410992667651,569,165,266
16.962171335084744,569,164,267
16.96997009168196,569,163,268
16.981077478129276,569,162,269
16.981836873706285,568,163,269
17.026689347851573,568,162,270
17.029803895655213,568,161,271
17.040024052547686,568,160,272
17.04162877143844,568,159,273
17.044683360928335,568,158,274
17.054481849720847,568,157,275
17.067026986983038,567,158,275
17.08595370769414,566,159,275
17.112551263836192,565,160,275
17.114310923433937,564,161,275
17.119021803780036,564,160,276
17.134332102612536,563,161,276
17.135374730082784,562,162,276
17.178088235935892,561,163,276
17.18689048952939,560,164,276
17.190079839039473,559,165,276
17.198232733534955,558,166,276
17.219805010254685,558,165,277
17.223034349752883,558,164,278
17.232620993457953,557,165,278
17.23980133882198,557,164,279
17.250884949960952,556,165,279
17.265107819394842,556,164,280
17.276711161087917,555,165,280
17.277119272496446,555,164,281
17.282616987183697,554,165,281
17.28553336650522,553,166,281
17.30039764170492,553,165,282
17.304904388420873,553,164,283
17.333722959645986,553,163,284
17.337326818167426,552,164,284
17.339558375181163,552,163,285
17.34484831944173,552,162,286
17.353100326320323,551,163,286
17.393530129913113,551,162,287
17.40699539975336,550,163,287
17.40724695811055,549,164,287
17.411252989659186,548,165,287
17.4349686467153,547,166,287
17.43525777948207,547,165,288
17.437081936540196,547,164,289
17.44593639711747,546,165,289
17.44612974145796,545,166,289
17.44673038293218,544,167,289
17.456586440381784,543,168,289
17.458900332997306,543,167,290
17.467516997659736,543,166,291
17.47216346379034,543,165,292
17.497602479592494,542,166,292
17.49882837018891,542,165,293
17.505266076821325,541,166,293
17.52383355996918,541,165,294
17.53140445620351,541,164,295
17.543609550628123,540,165,295
17.57534310411163,539,166,295
17.576973057982475,538,167,295
17.58834054214908,537,168,295
17.598232542108825,537,167,296
17.60013587289294,536,168,296
17.606653605918723,536,167,297
17.60724921648868,535,168,297
17.608210794625393,535,167,298
17.609216493934305,535,166,299
17.648916050239027,534,167,299
17.653471403343122,533,168,299
17.666420520170963,532,169,299
17.677041127031366,532,168,300
17.68968830059079,532,167,301
17.703917127038345,532,166,302
17.76158993902611,531,167,302
17.772832681075183,530,168,302
17.79733706699394,530,167,303
17.798442001983393,529,168,303
17.803342675931386,528,169,303
17.80951477296214,527,170,303
17.810220666810423,526,171,303
17.828592088155478,525,172,303
17.834948406730128,525,171,304
17.84656346030234,524,172,304
17.86608438506661,523,173,304
17.872235262824127,522,174,304
17.88225731058665,522,173,305
17.891191133496214,522,172,306
17.893865966141288,522,171,307
17.896046778536927,521,172,307
17.930910064102054,521,171,308
17.93277533498775,521,170,309
17.936315495156016,521,169,310
17.936699968544648,520,170,310
17.944646773536462,520,169,311
17.96041920262018,519,170,311
17.963211818784224,519,169,312
17.975739984964285,519,168,313
17.98274945969019,518,169,313
17.984581647255737,518,168,314
18.0116753554514,517,169,314
18.047803398722778,517,168,315
18.055018846193065,517,167,316
18.05783836798064,517,166,317
18.06405598110354,517,165,318
18.06511030139558,516,166,318
18.087162142461047,515,167,318
18.104818987050614,515,166,319
18.117474373166445,514,167,319
18.136023212355667,513,168,319
18.142909345238422,513,167,320
18.152114621616356,513,166,321
18.1543505801132,513,165,322
18.20149933464997,512,166,322
18.21358936007609,512,165,323
18.22737181391036,511,166,323
18.237199055149137,511,165,324
18.243116218363905,511,164,325
18.246944378877046,510,165,325
18.257943279698686,510,164,326
18.26045255173767,510,163,327
18.28154942299482,509,164,327
18.287300116463527,509,163,328
18.29159904868909,509,162,329
18.335868810274924,508,163,329
18.340028434782052,507,164,329
18.358678020296832,506,165,329
18.359810742281933,505,166,329
18.36242263729849,505,165,330
18.36333925878002,505,164,331
18.366864070549195,504,165,331
18.373700792197234,504,164,332
18.38133350660136,503,165,332
18.386317025136467,503,164,333
18.420364055807717,503,163,334
18.424875698135867,503,162,335
18.436853384173126,502,163,335
18.438076724725995,502,162,336
18.463873944758856,501,163,336
18.467214055618072,501,162,337
18.471811368554505,500,163,337
18.47324352888806,499,164,337
18.490416871595674,498,165,337
18.49736375339385,498,164,338
18.49902614543632,497,165,338
18.49961792327539,497,164,339
18.509832910917794,496,165,339
18.511880004570298,496,164,340
18.52068992597402,496,163,341
18.526275459147676,496,162,342
18.5275884051751,495,163,342
18.532173618566556,495,162,343
18.55183306610938,494,163,343
18.552784851336426,493,164,343
18.57988164036001,492,165,343
18.58252321573816,492,164,344
18.600453823958503,492,163,345
18.603133149389233,492,162,346
18.62701934857703,491,163,346
18.668950620628774,490,164,346
18.671027540597052,490,163,347
18.679758999968904,489,164,347
18.68798765341968,489,163,348
18.70309309069648,488,164,348
18.723645448910037,487,165,348
18.72435634955222,487,164,349
18.725893395749676,487,163,350
18.73163035599663,486,164,350
18.734318348066047,485,165,350
18.754178815321442,484,166,350
18.777347362167667,484,165,351
18.805311137918903,483,166,351
18.80831686783525,482,167,351
18.810193743448245,482,166,352
18.811332693701623,481,167,352
18.835942899944545,480,168,352
18.84339568422869,479,169,352
18.8756090816947,478,170,352
18.890709480925988,477,171,352
18.894713557035896,476,172,352
18.89560057777796,475,173,352
18.89761317861333,475,172,353
18.902590748906157,475,171,354
18.924289786265028,474,172,354
18.92902531811059,474,171,355
18.93109547558684,474,170,356
18.934961375489205,473,171,356
18.94930531669471,472,172,356
18.963540788834212,472,171,357
18.988737069897514,471,172,357
18.990936175027034,470,173,357
18.995398340943545,469,174,357
19.012203401424564,469,173,358
19.027133224413024,469,172,359
19.03831050042813,469,171,360
19.04228327588505,469,170,361
19.047895918057783,469,169,362
19.04976319453566,468,170,362
19.07402704396943,467,171,362
19.105608242239224,467,170,363
19.106378140935583,466,171,363
19.128763885199778,466,170,364
19.129375538853605,466,169,365
19.15271178425687,465,170,365
19.157869924895646,465,169,366
19.16809855074676,465,168,367
19.180714958511068,464,169,367
19.193083570045268,464,168,368
19.197805106863346,463,169,368
19.209766749835115,463,168,369
19.21401529404199,462,169,369
19.217564717576238,461,170,369
19.253701521007173,461,169,370
19.26399692338123,461,168,371
19.3320730062247,460,169,371
19.337769370263736,460,168,372
19.34640951793755,459,169,372
19.375444260942256,459,168,373
19.384512209191545,459,167,374
19.396842612867204,458,168,374
19.415505133621114,457,169,374
19.464220713007442,456,170,374
19.469757559264128,455,171,374
19.47257981747302,455,170,375
19.482181441213427,455,169,376
19.513695864324713,455,168,377
19.515582874738083,455,167,378
19.527930764470984,455,166,379
19.535225621729303,454,167,379
19.53631206371492,454,166,380
19.557381189999372,454,165,381
19.576492433966852,453,166,381
19.62346698144862,453,165,382
19.653695239935633,453,164,383
19.662608513353614,453,163,384
19.67146228140233,452,164,384
19.717854044812768,451,165,384
19.75231791103707,451,164,385
19.755978286318868,451,163,386
19.76084268773721,450,164,386
19.77437949381245,450,163,387
19.776021758841985,450,162,388
19.77993609583703,450,161,389
19.79556001288416,450,160,390
19.808700799015394,449,161,390
19.81586975141118,449,160,391
19.817160495531304,449,159,392
19.835522336311698,448,160,392
19.83553021698979,448,159,393
19.84502431942154,448,158,394
19.847608208201688,448,157,395
19.861412284449518,448,156,396
19.86189084426195,448,155,397
19.865844771420214,447,156,397
19.872304274811956,446,157,397
19.88739955617397,445,158,397
19.887418056726258,445,157,398
19.889708386730035,445,156,399
19.914799773699237,444,157,399
19.91990067907922,444,156,400
19.923460375824835,444,155,401
19.927384248508904,443,156,401
19.937241028407662,442,157,401
19.943901092152707,441,158,401
19.948158956912696,440,159,401
19.966776133363872,439,160,401
19.97529090120016,438,161,401
19.999341677705214,438,160,402
20.024314185358755,437,161,402
20.026530442255638,437,160,403
20.030284386366603,437,159,404
20.040887234316003,437,158,405
20.059067091850576,436,159,405
20.0828192455609,436,158,406
20.103659822538766,435,159,406
20.109197460701772,435,158,407
20.1210028454579,434,159,407
20.121988489622304,434,158,408
20.136245000936906,434,157,409
20.153084848518944,434,156,410
20.16456747607826,434,155,411
20.18117074259085,434,154,412
20.18424787955833,433,155,412
20.20464589518426,432,156,412
20.21696783641632,431,157,412
20.22595837845441,430,158,412
20.269556086353695,429,159,412
20.27468808128517,428,160,412
20.27501100235787,428,159,413
20.30176907691236,427,160,413
20.30767485869353,426,161,413
20.312359938671047,425,162,413
20.33409075013866,425,161,414
20.350411666924607,425,160,415
20.351774067460692,424,161,415
20.363061151089806,423,162,415
20.366290195804623,423,161,416
20.387003564651824,423,160,417
20.39082311062693,423,159,418
20.422889237602163,423,158,419
20.42958520169025,422,159,419
20.463118522551675,421,160,419
20.469725881471646,421,159,420
20.474284854304255,420,160,420
20.488641133942327,420,159,421
20.508327578478227,420,158,422
20.511381935375077,420,157,423
20.52074261186181,420,156,424
